year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR	CO2
2001	1	1	1.1	4.049	88	79.402	0	0.604438722	0	371.14
2001	1	2	1.1	4.049	88	79.402	0	0.608916442	0	371.14
2001	1	3	1.1	4.049	88	79.402	0	0.613394161	0	371.14
2001	1	4	1.1	4.049	88	79.402	0	0.617871881	0	371.14
2001	1	5	1.1	4.049	88	79.402	0	0.641396185	0	371.14
2001	1	6	1.1	4.049	88	79.402	0	0.664920489	0	371.ß14
2001	1	7	1.1	4.049	88	79.402	0	0.688444793	0	371.14
2001	1	8	1.1	4.049	88	79.402	0	0.731015821	0	371.14
2001	1	9	3.0333	5.5763	80.167	150.7	0	0.77358685	16.905	371.14
2001	1	10	4.9667	7.1037	72.333	240.86	0	0.816157878	33.81	371.14
2001	1	11	6.9	8.631	64.5	353.34	0	0.814262768	216.66	371.14
2001	1	12	8.8333	10.158	56.667	492.08	0	0.812367658	385.02	371.14
2001	1	13	10.767	11.686	48.833	661.56	0	0.810472548	553.38	371.14
2001	1	14	12.7	13.213	41	866.78	0	0.764111221	721.74	371.14
2001	1	15	12.2	12.818	44.833	784.27	0	0.717749894	681.03	371.14
2001	1	16	11.7	12.423	48.667	706.09	0	0.671388567	640.32	371.14
2001	1	17	11.2	12.028	52.5	632.08	0	0.631046852	599.61	371.14
2001	1	18	10.7	11.633	56.333	562.07	0	0.590705137	408.8388	371.14
2001	1	19	10.2	11.238	60.167	495.89	0	0.550363422	218.04	371.14
2001	1	20	9.7	10.843	64	433.4	0	0.516041239	27.255	371.14
2001	1	21	9.4667	10.659	65.333	410.85	0	0.481719057	18.169908	371.14
2001	1	22	9.2333	10.474	66.667	388.89	0	0.447396875	9.085092	371.14
2001	1	23	9	10.29	68	367.5	0	0.324038863	0	371.14
2001	1	24	8.7667	10.106	69.333	346.67	0	0.200680852	0	371.14
2001	2	1	8.5333	9.9213	70.667	326.4	0	0.07732284	0	371.14
2001	2	2	8.3	9.737	72	306.67	0	0.13507092	0	371.14
2001	2	3	8.4333	9.8423	71.833	311.3	0	0.347464681	0	371.14
2001	2	4	8.5667	9.9477	71.667	315.99	0	0.559858442	0	371.14
2001	2	5	8.7	10.053	71.5	320.73	0	0.664338827	0	371.14
2001	2	6	8.8333	10.158	71.333	325.53	0	0.768819213	0	371.14
2001	2	7	8.9667	10.264	71.167	330.39	0	0.873299599	0	371.14
2001	2	8	9.1	10.369	71	335.3	0	0.86986657	0	371.14
2001	2	9	9.2	10.448	70.833	339.51	0	0.866433541	16.905	371.14
2001	2	10	9.3	10.527	70.667	343.76	0	0.863000512	33.81	371.14
2001	2	11	9.4	10.606	70.5	348.05	0	0.803934773	50.715	371.14
2001	2	12	9.5	10.685	70.333	352.38	0	0.744869034	99.13092	371.14
2001	2	13	9.6	10.764	70.167	356.75	0	0.685803294	147.54408	371.14
2001	2	14	9.7	10.843	70	361.17	0	0.571104805	195.96	371.14
2001	2	15	9.5667	10.738	72.333	330.1	0	0.456406315	182.62092	371.14
2001	2	16	9.4333	10.632	74.667	299.56	0	0.341707826	169.27908	371.14
2001	2	17	9.3	10.527	77	269.54	0	0.286836426	155.94	371.14
2001	2	18	9.1667	10.422	79.333	240.03	0	0.231965025	108.55908	371.14
2001	2	19	9.0333	10.316	81.667	211.02	0	0.177093625	61.18092	371.14
2001	2	20	8.9	10.211	84	182.51	0	0.182049513	13.8	371.14
2001	2	21	8.7667	10.106	85.167	167.69	0.05833333	0.187005401	9.199908	371.14
2001	2	22	8.6333	10	86.333	153.11	0.05833333	0.191961289	4.600092	371.14
2001	2	23	8.5	9.895	87.5	138.78	0.05833333	0.168693265	0	371.14
2001	2	24	8.3667	9.7897	88.667	124.69	0.05833333	0.14542524	0	371.14
2001	3	1	8.2333	9.6843	89.833	110.85	0.05833333	0.122157216	0	371.14
2001	3	2	8.1	9.579	91	97.241	0.05833333	0.070665518	0	371.14
2001	3	3	8.0167	9.5132	91.833	87.738	0.05833333	0.01917382	0	371.14
2001	3	4	7.9333	9.4473	92.667	78.339	0.05833333	0.032317877	0	371.14
2001	3	5	7.85	9.3815	93.5	69.043	0.05833333	0.021690766	0	371.14
2001	3	6	7.7667	9.3157	94.333	59.851	0.05833333	0.075699408	0	371.14
2001	3	7	7.6833	9.2498	95.167	50.759	0.05833333	0.129708052	0	371.14
2001	3	8	7.6	9.184	96	41.769	0.05833333	0.289217234	0	371.14
2001	3	9	8.1667	9.6317	91.5	92.256	0	0.448726416	15.525	371.14
