year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR	CO2
2021	1	1	7.6	7.2	33	699.407261633783	0	2.3	0	415.7
2021	1	2	7.1	6.8	37	635.517948318359	0	2.7	15.7	415.7
2021	1	3	6.6	6.4	35	633.53644680992	0	2.3	15.3	415.7
2021	1	4	5.9	6	36	594.339317796495	0	2.3	0	415.7
2021	1	5	5.7	5.7	33	613.629160269635	0	2.1	0	415.7
2021	1	6	5.4	5.5	33	600.969491235693	0	2.9	0	415.7
2021	1	7	4.4	5.1	45	460.04408043984	0	1.9	0	415.7
2021	1	8	4.9	5.5	39	528.406733161585	0	2.7	0	415.7
2021	1	9	6.2	6.7	34	625.770119339194	0	2.2	21.2	415.7
2021	1	10	7.2	7.6	28	731.30449844011	0	3.5	552.4	415.7
2021	1	11	8.6	11.8	25	838.052706578515	0	3.2	751.7	415.7
2021	1	12	10.2	26.3	22	970.723381203546	0	2.8	1113.5	415.7
2021	1	13	11.2	29.2	21	1050.91178920415	0	3.4	904.1	415.7
2021	1	14	12.7	31.3	19	1189.59065796856	0	2.3	690.3	415.7
2021	1	15	13.3	31.1	19	1237.20834745116	0	1.9	454.5	415.7
2021	1	16	13.4	26	21	1214.55689675436	0	1.7	181.2	415.7
2021	1	17	12.7	16	25	1101.47283145237	0	1.8	0	415.7
2021	1	18	11	12.1	26	971.408462938313	0	1.2	0	415.7
2021	1	19	9.5	9.8	30	831.194375605197	0	0.1	0	415.7
2021	1	20	8.2	8.8	41	641.606979734543	0	1.1	0	415.7
2021	1	21	8.6	8.6	39	681.616201350526	0	1.5	0	415.7
2021	1	22	8	8	40	643.661295528676	0	1.6	0	415.7
2021	1	23	7.4	7.7	44	576.638223860604	0	1.7	0	415.7
2021	1	24	7.2	7.4	44	568.792387675641	0	2	0	415.7
2021	2	1	6.2	6.7	57	407.698714114929	0	1.3	0	415.7
2021	2	2	6.3	6.5	54	439.166545075731	0	1.2	0	415.7
2021	2	3	6.7	6.3	49	500.517334837505	0	1.4	0	415.7
2021	2	4	6.3	6.2	56	420.072347463743	0	1.8	0	415.7
2021	2	5	5.7	5.9	56	402.980344057671	0	1.5	0	415.7
2021	2	6	5.8	5.8	53	433.452920962995	0	2.2	0	415.7
2021	2	7	5.8	5.5	49	470.342531257718	0	0.7	0	415.7
2021	2	8	5.3	5.9	53	418.65149828118	0	0.2	0	415.7
2021	2	9	7.6	7.2	44	584.57920375361	0	1.3	25.4	415.7
2021	2	10	9.8	8.6	34	799.657337555043	0	1.9	551	415.7
2021	2	11	11.7	12.8	28	990.042066938828	0	2.8	749.3	415.7
2021	2	12	13.9	27.8	22	1238.84306880372	0	2.7	930.6	415.7
2021	2	13	15.5	31.5	20	1408.81831849607	0	1.7	783.2	415.7
2021	2	14	16.7	32.9	19	1539.96820018789	0	1.7	597.8	415.7
2021	2	15	17	32.2	18	1588.93806853376	0	1.8	222.8	415.7
2021	2	16	16.5	27.7	19	1520.5124256182	0	2.3	0	415.7
2021	2	17	15.9	17.7	20	1445.3641032262	0	1.7	0	415.7
2021	2	18	13.9	13.4	23	1222.96046535751	0	0.5	0	415.7
2021	2	19	11.9	10.9	30	975.33952450539	0	0	0	415.7
2021	2	20	10.3	9.8	39	764.249335732052	0	1	0	415.7
2021	2	21	7.2	8.2	47	538.321366907303	0	1.1	0	415.7
2021	2	22	7.1	7.7	45	554.817256468409	0	1.1	0	415.7
2021	2	23	6.8	7.3	47	523.736770432994	0	1.1	0	415.7
2021	2	24	6.7	7	48	510.331400226476	0	0.3	0	415.7
2021	3	1	7.5	7.6	50	518.389963823037	0	0.5	0	415.7
2021	3	2	8.1	7.4	46	583.252448392838	0	0.1	0	415.7
2021	3	3	6.1	7.1	70	282.480936380709	0	1.8	0	415.7
2021	3	4	6.6	7	70	292.401436989194	0	0.1	0	415.7
2021	3	5	6.5	6.9	71	280.713366776868	0	0.1	0	415.7
2021	3	6	5.2	6.6	83	150.375951923926	0	2.3	0	415.7
2021	3	7	5.5	6.4	78	198.71042123136	0	1.7	0	415.7
2021	3	8	6.1	7	76	225.984749104567	0	1.8	0	415.7
2021	3	9	8	8.5	70	321.830647764338	0	0.7	0	415.7
2021	3	10	12	10.3	52	673.230659062539	0	2	716.6	415.7
2021	3	11	14.7	15.1	45	919.977523949998	0	2.3	945.7	415.7
2021	3	12	16.5	29.5	29	1332.79484220854	0	2.9	262.9	415.7
2021	3	13	18.7	34.5	26	1595.88546525599	0	2.2	112.4	415.7
2021	3	14	18.8	27.3	27	1584.19113430495	0	1.9	0	415.7
2021	3	15	18.9	26.2	26	1615.95416268427	0	2	0	415.7
2021	3	16	18.6	22.9	27	1564.50162756258	0	1.8	0	415.7
2021	3	17	18.4	20.5	28	1523.86186058516	0	1.6	0	415.7
2021	3	18	17.4	17.2	32	1351.43008845345	0	0.4	0	415.7
2021	3	19	16.9	15.9	33	1290.07401365224	0	1.1	0	415.7
2021	3	20	16.3	15.5	36	1186.19049549167	0	1	0	415.7
2021	3	21	8.7	9	43	641.249712328186	0	0	0	415.7
2021	3	22	8.4	8.6	46	595.267440473956	0	1.5	0	415.7
2021	3	23	9.7	8.3	39	734.131249328649	0	1.4	0	415.7
2021	3	24	8.3	7.9	43	624.085044706302	0	0	0	415.7
2021	4	1	15.5	14.3	42	1021.39328090965	0	1.5	0	415.7
2021	4	2	15.4	14.2	41	1032.35946606568	0	1.7	0	415.7
2021	4	3	15.3	14	39	1060.52397623138	0	1.6	0	415.7
2021	4	4	15.2	14	37	1088.28018335413	0	1.7	0	415.7
2021	4	5	14.8	13.9	40	1010.10691681985	0	1.6	0	415.7
2021	4	6	15	13.8	37	1074.36812623294	0	2.2	0	415.7
2021	4	7	14.5	13.6	39	1007.24368488225	0	2.4	0	415.7
2021	4	8	14.4	13.9	41	967.94009915658	0	2.7	0	415.7
2021	4	9	14.9	16.1	39	1033.58280306382	0	2.8	0	415.7
2021	4	10	16	19.3	36	1163.70347551075	0	1.7	0	415.7
2021	4	11	16.3	21.7	36	1186.19049549167	0	3.2	140.2	415.7
2021	4	12	16.9	23.9	36	1232.30950557826	0	2.2	80	415.7
2021	4	13	17.7	23.5	35	1316.49454283741	0	1.9	410.1	415.7
2021	4	14	19.1	28.1	30	1547.79774380419	0	0.8	546.2	415.7
2021	4	15	20.2	29.7	30	1657.17138825229	0	1.3	209.1	415.7
2021	4	16	19.3	25.4	32	1522.42352477925	0	1.3	0	415.7
2021	4	17	18.4	21.7	32	1439.20286833043	0	1.7	0	415.7
2021	4	18	17.6	18.4	38	1247.84085642895	0	0.1	0	415.7
2021	4	19	17.2	17	40	1177.45539454732	0	0.7	0	415.7
2021	4	20	16.5	16.5	44	1051.21846709406	0	0.5	0	415.7
2021	4	21	15.7	13.7	37	1123.75357368351	0	0.5	0	415.7
2021	4	22	15	13.4	43	972.04735230599	0	0.9	0	415.7
