day_idx vcode value sd weight
1 1 240.05836925 27.06484118 1.00000000
1 2 6400.43517921 899.33630887 1.00000000
1 3 241.61900114 32.00461759 1.00000000
1 101 20.66666667 7.00594985 1.00000000
60 1 259.42338720 87.18403095 1.00000000
60 2 5283.42769607 174.17394673 1.00000000
60 3 197.99797839 7.29725969 1.00000000
127 107 196.09759661 57.68379616 1.00000000
152 1 260.24318262 30.90738070 1.00000000
152 2 6587.78742072 971.08109327 1.00000000
152 3 248.88304343 34.44333907 1.00000000
182 101 208.50000000 35.92005011 1.00000000
205 107 128.77206374 30.28328113 1.00000000
205 201 0.01852691 0.00884567 0.50000000
205 202 1.28891836 0.50256517 1.00000000
205 203 21.74683012 4.69330244 1.00000000
205 204 126.84262513 51.79009464 1.00000000
220 107 133.78055894 27.97212382 1.00000000
220 201 0.01410607 0.00475608 0.50000000
220 202 1.51047697 0.16177133 1.00000000
220 203 21.30882878 6.44464517 1.00000000
220 204 123.76945567 29.72794901 1.00000000
244 1 269.70895895 27.38858279 1.00000000
244 2 6691.92933085 1004.10025695 1.00000000
244 3 252.93908202 35.43094542 1.00000000
256 107 131.99567107 12.84656305 1.00000000
256 201 0.04400797 0.04870995 0.50000000
256 202 1.98748016 0.46520559 1.00000000
256 203 20.35721554 3.85216648 1.00000000
256 204 123.88851575 48.88739877 1.00000000
274 101 408.33333333 75.20028812 1.00000000
317 107 170.77283108 42.42007018 1.00000000
317 201 0.03581204 0.00364783 0.50000000
317 202 2.03322153 0.39711151 1.00000000
317 203 22.61645799 3.08074037 1.00000000
317 204 128.48033316 43.76813691 1.00000000
335 1 276.67687010 23.71614014 1.00000000
335 2 6753.38653001 980.59437551 1.00000000
335 3 255.29390391 34.28573600 1.00000000
366 101 491.66666667 97.32976592 1.00000000
371 107 109.59782219 19.57332547 1.00000000
371 201 0.01231643 0.00605408 0.50000000
371 202 1.86611111 0.63173816 1.00000000
371 203 19.93257086 5.50855948 1.00000000
371 204 132.30677361 52.37928777 1.00000000
433 107 178.83212068 30.79790925 1.00000000
433 201 0.04742067 0.00728731 0.50000000
433 202 1.43562449 0.20115766 1.00000000
433 203 21.75245339 4.09978720 1.00000000
433 204 135.28956527 34.04383821 1.00000000
456 1 280.45714009 25.44677225 1.00000000
456 2 6785.77074589 986.55721589 1.00000000
456 3 256.46646484 34.43916425 1.00000000
456 101 597.50000000 112.47110740 1.00000000
481 107 310.65816232 74.64489877 1.00000000
481 201 0.05313200 0.02452698 0.50000000
481 202 1.41733258 0.42765268 1.00000000
481 203 22.42388652 3.63509088 1.00000000
481 204 124.61444360 42.48056164 1.00000000
539 107 263.77644309 98.00081344 1.00000000
539 201 0.06885520 0.01627285 0.50000000
539 202 2.16750263 0.55345735 1.00000000
539 203 22.27524433 5.95617448 1.00000000
539 204 114.79393371 33.37413684 1.00000000
547 1 291.16463996 24.83411402 1.00000000
547 2 6894.97925085 1011.76834433 1.00000000
547 3 260.78865909 35.22149930 1.00000000
547 101 673.16666667 123.15065300 1.00000000
609 1 292.19347391 25.60306832 1.00000000
609 2 6904.29523984 1016.11289489 1.00000000
609 3 261.04152947 35.40077194 1.00000000
609 101 736.66666667 100.48921999 1.00000000
731 1 318.86541331 28.71805806 1.00000000
731 2 7148.40018267 952.26442286 1.00000000
731 3 270.89824696 32.64190941 1.00000000
731 101 864.16666667 128.61214302 1.00000000
739 107 100.31813249 55.75635757 1.00000000
822 1 324.18601142 30.14777513 1.00000000
822 2 7200.80739536 991.72352194 1.00000000
822 3 272.88084207 34.10354168 1.00000000
822 101 972.16666667 169.64767412 1.00000000
913 1 336.32164365 29.64846767 1.00000000
913 2 7316.47961122 1030.47585344 1.00000000
913 3 277.45333704 35.29807121 1.00000000
913 101 1056.33333333 185.65851269 1.00000000
