year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR	CO2
1984	1	1	18.8	18.8	86	303.8174778	0	0.8	0.1	344
1984	1	2	17.7	18.6	93	141.7763354	0	0.2	0	344
1984	1	3	17.5	18.5	93	139.9990882	0	1.3	0	344
1984	1	4	17.4	18.4	92	158.9917751	0	0.4	0	344
1984	1	5	17.3	17.9	95	98.74384291	0	0.4	0	344
1984	1	6	17.1	17.9	95	97.50216315	0	1.3	0	344
1984	1	7	16.6	17.7	96	75.56608511	0	1.3	26.3	344
1984	1	8	16.8	17.6	95	95.66528473	0	0.5	141.5	344
1984	1	9	19	18.6	81	417.5047315	0	0.6	293.3	344
1984	1	10	20.6	19.9	72	679.4346474	0	1	787.7	344
1984	1	11	22.5	25.7	61	1062.979167	0	1.6	977.5	344
1984	1	12	23.5	27.5	57	1245.078232	0	1.5	1026.8	344
1984	1	13	24.5	29	54	1414.338563	0	1.4	1053.5	344
1984	1	14	26.1	29.3	51	1656.867288	0	0.6	919.7	344
1984	1	15	24.9	27.1	55	1417.030956	0	1.1	532.4	344
1984	1	16	24.4	25.4	57	1314.214441	0	1.3	278.7	344
1984	1	17	23.3	23.6	62	1087.112029	0	0.5	50.7	344
1984	1	18	21.4	21.7	67	841.0942975	0	0.7	0	344
1984	1	19	20.5	20.6	74	627.0267329	0	0.8	0	344
1984	1	20	19	19.8	82	395.5307983	0	1.2	0	344
1984	1	21	20.1	20.6	81	447.0310745	0	1	0.4	344
1984	1	22	19.8	20.2	82	415.7078849	0	0.4	0.1	344
1984	1	23	19.7	20.1	82	413.1375068	0	0.6	0	344
1984	1	24	19.3	19.3	85	335.8287187	0	0.9	0	344
1984	2	1	16.4	17.7	95	93.26330564	0	0.7	0	344
1984	2	2	17.5	18.4	89	219.9985672	0	0.9	0	344
1984	2	3	17.4	18.6	91	178.865747	0	0.6	0.5	344
1984	2	4	17.6	18.6	88	241.5175851	0	0.5	0	344
1984	2	5	17.5	18.6	89	219.9985672	0	1	0.1	344
1984	2	6	17.7	18.6	87	263.2989086	0	0.8	0	344
1984	2	7	17.7	18.5	85	303.806433	0	0.8	9.4	344
1984	2	8	17.7	18.7	86	283.5526708	0	0.5	51.7	344
1984	2	9	18.1	19.1	84	332.320419	0	0.7	121.4	344
1984	2	10	19.1	20.4	77	508.5621158	0	0.8	273.9	344
1984	2	11	19.9	21.8	75	580.961441	0	0.8	302.3	344
1984	2	12	20.3	21.7	73	643.1560211	0	0.6	478.1	344
1984	2	13	21.1	22.8	69	775.7200542	0	0.7	327.8	344
1984	2	14	21.8	23.4	68	835.79901	0	0.5	418.9	344
1984	2	15	21.5	23.3	67	846.2585078	0	0.5	624.7	344
1984	2	16	22.5	23.2	65	953.9556623	0	0.7	307.4	344
1984	2	17	21.1	21.7	69	775.7200542	0	0.7	41.6	344
1984	2	18	20.2	20.8	72	662.8685553	0	0.6	0	344
1984	2	19	19.4	19.8	73	608.2643706	0	0.7	0	344
1984	2	20	18.3	19.4	81	399.6165661	0	0.6	0	344
1984	2	21	18	19.1	86	288.9584884	0	1.5	0	344
1984	2	22	17.5	18.6	89	219.9985672	0	1.2	0.1	344
1984	2	23	17	18.2	92	155.0183481	0	0.8	0	344
1984	2	24	16.8	18	93	133.9313986	0	0.6	0	344
1984	3	1	17.4	18.1	90	198.7397189	0	1.9	0.1	344
1984	3	2	17.2	18.1	87	255.1153355	0	2.7	0.1	344
1984	3	3	16.7	17.9	87	247.1553902	0	2.2	0	344
1984	3	4	16.4	17.6	85	279.7899169	0	2.8	0	344
1984	3	5	15.9	17.2	85	271.0057694	0	3.4	0.3	344
1984	3	6	15.1	16.7	84	274.6170252	0	2.1	0	344
1984	3	7	14.3	16	83	277.0989699	0	3.2	29.7	344
1984	3	8	13.8	15.7	79	331.374668	0	2.4	126.6	344
1984	3	9	14.4	16.7	73	442.9556386	0	4.7	235.6	344
1984	3	10	14.8	18.1	69	521.8885737	0	3.4	853.3	344
1984	3	11	15.3	21.6	66	591.1117245	0	4.1	903.6	344
1984	3	12	16.7	24.6	60	760.4781235	0	4.7	1174.6	344
1984	3	13	17.9	26.2	59	840.9293598	0	3.1	1143.1	344
1984	3	14	17.2	25.6	56	863.4672893	0	5.1	982.5	344
1984	3	15	17.6	24.4	54	925.8174096	0	4.5	698.5	344
