system_rank,parameter_id,parameter_name_cn,primary_process,own_process_score,system_score,lower_multiplier,upper_multiplier,scale
1,s_tau_microbial,微生物库周转时间,土壤磷动态,0.5886274334337275,0.692322768699532,0.25,4.0,log
2,s_tau_root,根系周转时间,碳分配与库周转,0.8495784368460462,0.6294554102676959,0.25,4.0,log
3,s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,0.3411958375239288,0.42031929046879357,0.25,4.0,log
4,s_psorbmax,最大磷吸附容量倍率,土壤磷动态,0.36850302983973426,0.3851561302137484,0.2,5.0,log
5,s_tau_slow,慢周转土壤有机质时间,土壤磷动态,0.33845724389639636,0.3622325488311675,0.25,4.0,log
6,s_kmlabp,有效磷半饱和常数倍率,土壤磷动态,0.34323096320169066,0.360416615445131,0.2,5.0,log
7,s_tau_leaf,叶片周转时间,碳分配与库周转,0.2669159959205776,0.2681831786549334,0.25,4.0,log
8,s_sla,比叶面积,碳获取与呼吸,0.33191822809880495,0.2320315482508631,0.7,1.3,linear
9,s_q10,呼吸温度敏感性,碳获取与呼吸,0.21990646727680274,0.2180749905647793,0.8,1.2,linear
10,s_vcmax,参考温度下最大羧化能力,碳获取与呼吸,0.247527359939522,0.19161163634839515,0.7,1.3,linear
11,s_tau_coarse_litter,结构性凋落物周转时间,土壤磷动态,0.0926519379754213,0.14327514966301935,0.25,4.0,log
12,s_fptase_capacity,生化矿化或磷酸酶能力,植物磷需求与获取,0.2549154322309979,0.1285867971698885,0.2,5.0,log
13,s_alloc_el,叶片分配权重,碳分配与库周转,0.1035095787253233,0.10674222529373704,0.7,1.3,linear
14,s_rate_max_p,根系最大吸磷速率,植物磷需求与获取,0.20153796216760175,0.09386807447048855,0.25,4.0,log
15,s_alpha_p,植物磷重吸收比例,植物磷需求与获取,0.23515936784311944,0.08774180979079065,0.6,1.4,linear
16,s_alloc_ww,木质部分配权重,碳分配与库周转,0.07586246014972528,0.07781704598183965,0.7,1.3,linear
17,s_alpha,量子效率,碳获取与呼吸,0.03702768295980027,0.06417347729595534,0.7,1.3,linear
18,s_kpmin,根系吸磷半饱和参数,植物磷需求与获取,0.17184716659591054,0.05912101206065531,0.25,4.0,log
19,s_sorb_to_ssorb,吸附态向强吸附态转化倍率,土壤磷动态,0.10409587708284437,0.055230851074477026,0.2,5.0,log
20,s_alloc_kn,冠层叶量分配衰减系数,碳分配与库周转,0.01604741310486374,0.046747287452007784,0.7,1.3,linear
21,s_tau_passive,惰性土壤有机质时间,土壤磷动态,0.01470747899493063,0.0464598957931906,0.25,4.0,log
22,s_tau_wood,木质部周转时间,碳分配与库周转,0.011439964202804883,0.04299195657086335,0.25,4.0,log
23,s_alloc_es,茎分配权重,碳分配与库周转,0.004427930990539107,0.04296769764766255,0.7,1.3,linear
24,s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,0.0037124524138544813,0.038950196630882596,0.7,1.3,linear
25,s_p_loss,磷损失速率倍率,土壤磷动态,0.09467995983955428,0.035874145195006084,0.2,5.0,log
26,s_kpmin_low,低磷下线性吸收系数,植物磷需求与获取,0.1353705441762336,0.03582530749863719,0.25,4.0,log
27,s_eta_root,根凋落物进入代谢库比例,土壤磷动态,0.0033681152900116437,0.034125077261073215,0.7,1.3,linear
28,s_ssorb_to_occ,强吸附态向闭蓄态转化倍率,土壤磷动态,0.11035697576886316,0.02758924394221579,0.2,5.0,log
29,s_eta_wood,木质凋落物进入代谢库比例,土壤磷动态,2.2119536682483942e-05,0.026081518126118107,0.7,1.3,linear
30,s_alloc_repro,繁殖器官分配比例,碳分配与库周转,0.02421626937457269,0.023645389462076644,0.7,1.3,linear
