parameter_id,parameter_name_cn,primary_process,evaluated_process,process_score,n_metric_cases,rank_within_process
s_sla,比叶面积,碳获取与呼吸,碳获取与呼吸,0.33191822809880495,35,8
s_sla,比叶面积,碳获取与呼吸,碳分配与库周转,0.2316996455075076,84,8
s_sla,比叶面积,碳获取与呼吸,植物磷需求与获取,0.29595893061634104,63,8
s_sla,比叶面积,碳获取与呼吸,土壤磷动态,0.06854938878079885,70,13
s_vcmax,参考温度下最大羧化能力,碳获取与呼吸,碳获取与呼吸,0.247527359939522,35,9
s_vcmax,参考温度下最大羧化能力,碳获取与呼吸,碳分配与库周转,0.1973679173936997,84,10
s_vcmax,参考温度下最大羧化能力,碳获取与呼吸,植物磷需求与获取,0.2922770130284316,63,9
s_vcmax,参考温度下最大羧化能力,碳获取与呼吸,土壤磷动态,0.029274255031927314,70,15
s_alpha,量子效率,碳获取与呼吸,碳获取与呼吸,0.03702768295980027,35,17
s_alpha,量子效率,碳获取与呼吸,碳分配与库周转,0.03288518739430931,84,17
s_alpha,量子效率,碳获取与呼吸,植物磷需求与获取,0.17621086199147973,63,17
s_alpha,量子效率,碳获取与呼吸,土壤磷动态,0.010570176838232026,70,19
s_q10,呼吸温度敏感性,碳获取与呼吸,碳获取与呼吸,0.21990646727680274,35,10
s_q10,呼吸温度敏感性,碳获取与呼吸,碳分配与库周转,0.19783599157491527,84,9
s_q10,呼吸温度敏感性,碳获取与呼吸,植物磷需求与获取,0.25072698009436084,63,11
s_q10,呼吸温度敏感性,碳获取与呼吸,土壤磷动态,0.20383052331303833,70,6
s_tau_leaf,叶片周转时间,碳分配与库周转,碳获取与呼吸,0.4225311497699061,35,4
s_tau_leaf,叶片周转时间,碳分配与库周转,碳分配与库周转,0.2669159959205776,84,7
s_tau_leaf,叶片周转时间,碳分配与库周转,植物磷需求与获取,0.33037873447431887,63,7
s_tau_leaf,叶片周转时间,碳分配与库周转,土壤磷动态,0.05290683445493115,70,14
s_tau_wood,木质部周转时间,碳分配与库周转,碳获取与呼吸,0.00768450578325192,35,21
s_tau_wood,木质部周转时间,碳分配与库周转,碳分配与库周转,0.011439964202804883,84,22
s_tau_wood,木质部周转时间,碳分配与库周转,植物磷需求与获取,0.1520567945220928,63,21
s_tau_wood,木质部周转时间,碳分配与库周转,土壤磷动态,0.0007865617753037836,70,28
s_tau_root,根系周转时间,碳分配与库周转,碳获取与呼吸,0.8277134159219567,35,1
s_tau_root,根系周转时间,碳分配与库周转,碳分配与库周转,0.8495784368460462,84,1
s_tau_root,根系周转时间,碳分配与库周转,植物磷需求与获取,0.7470642831664812,63,1
s_tau_root,根系周转时间,碳分配与库周转,土壤磷动态,0.09346550513629966,70,11
s_alloc_kn,冠层叶量分配衰减系数,碳分配与库周转,碳获取与呼吸,0.009761398137997243,35,20
s_alloc_kn,冠层叶量分配衰减系数,碳分配与库周转,碳分配与库周转,0.01604741310486374,84,20
s_alloc_kn,冠层叶量分配衰减系数,碳分配与库周转,植物磷需求与获取,0.15901582409103968,63,20
s_alloc_kn,冠层叶量分配衰减系数,碳分配与库周转,土壤磷动态,0.002164514474130465,70,25
s_alloc_ww,木质部分配权重,碳分配与库周转,碳获取与呼吸,0.04770771964080248,35,16
s_alloc_ww,木质部分配权重,碳分配与库周转,碳分配与库周转,0.07586246014972528,84,13
s_alloc_ww,木质部分配权重,碳分配与库周转,植物磷需求与获取,0.18253149673338287,63,16
s_alloc_ww,木质部分配权重,碳分配与库周转,土壤磷动态,0.005166507403447961,70,22
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,0.09859203788240135,35,12
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,0.1035095787253233,84,12
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,0.2150946480043364,63,14
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,0.009772636562887153,70,20
s_alloc_es,茎分配权重,碳分配与库周转,碳获取与呼吸,0.0020348988013384538,35,26
s_alloc_es,茎分配权重,碳分配与库周转,碳分配与库周转,0.004427930990539107,84,24
s_alloc_es,茎分配权重,碳分配与库周转,植物磷需求与获取,0.1649538119378899,63,19
s_alloc_es,茎分配权重,碳分配与库周转,土壤磷动态,0.0004541488608827111,70,29
s_alloc_repro,繁殖器官分配比例,碳分配与库周转,碳获取与呼吸,0.004752883614602673,35,22
s_alloc_repro,繁殖器官分配比例,碳分配与库周转,碳分配与库周转,0.02421626937457269,84,19
s_alloc_repro,繁殖器官分配比例,碳分配与库周转,植物磷需求与获取,0.06455442869260536,63,28
s_alloc_repro,繁殖器官分配比例,碳分配与库周转,土壤磷动态,0.0010579761665258567,70,26
s_alpha_p,植物磷重吸收比例,植物磷需求与获取,碳获取与呼吸,0.05489141001187965,35,15
s_alpha_p,植物磷重吸收比例,植物磷需求与获取,碳分配与库周转,0.04956340872513511,84,16
s_alpha_p,植物磷重吸收比例,植物磷需求与获取,植物磷需求与获取,0.23515936784311944,63,12
s_alpha_p,植物磷重吸收比例,植物磷需求与获取,土壤磷动态,0.011353052583028397,70,18
s_rate_max_p,根系最大吸磷速率,植物磷需求与获取,碳获取与呼吸,0.08284804418894391,35,13
s_rate_max_p,根系最大吸磷速率,植物磷需求与获取,碳分配与库周转,0.07387589977173697,84,14
s_rate_max_p,根系最大吸磷速率,植物磷需求与获取,植物磷需求与获取,0.20153796216760175,63,15
s_rate_max_p,根系最大吸磷速率,植物磷需求与获取,土壤磷动态,0.017210391753671554,70,16
s_kpmin,根系吸磷半饱和参数,植物磷需求与获取,碳获取与呼吸,0.03134699257929474,35,18
s_kpmin,根系吸磷半饱和参数,植物磷需求与获取,碳分配与库周转,0.026963287380717443,84,18
s_kpmin,根系吸磷半饱和参数,植物磷需求与获取,植物磷需求与获取,0.17184716659591054,63,18
s_kpmin,根系吸磷半饱和参数,植物磷需求与获取,土壤磷动态,0.006326601686698496,70,21
s_kpmin_low,低磷下线性吸收系数,植物磷需求与获取,碳获取与呼吸,0.0038995738772214295,35,24
s_kpmin_low,低磷下线性吸收系数,植物磷需求与获取,碳分配与库周转,0.0031149701282801056,84,25
s_kpmin_low,低磷下线性吸收系数,植物磷需求与获取,植物磷需求与获取,0.1353705441762336,63,24
s_kpmin_low,低磷下线性吸收系数,植物磷需求与获取,土壤磷动态,0.0009161418128136268,70,27
s_fptase_capacity,生化矿化或磷酸酶能力,植物磷需求与获取,碳获取与呼吸,0.055694002055880355,35,14
s_fptase_capacity,生化矿化或磷酸酶能力,植物磷需求与获取,碳分配与库周转,0.04968653760278734,84,15
s_fptase_capacity,生化矿化或磷酸酶能力,植物磷需求与获取,植物磷需求与获取,0.2549154322309979,63,10
s_fptase_capacity,生化矿化或磷酸酶能力,植物磷需求与获取,土壤磷动态,0.15405121678988845,70,7
s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,碳获取与呼吸,0.4503060692545402,35,3
s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,碳分配与库周转,0.4247453951367922,84,3
s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,植物磷需求与获取,0.46502985995991303,63,3
s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,土壤磷动态,0.3411958375239288,70,4
s_tau_coarse_litter,结构性凋落物周转时间,土壤磷动态,碳获取与呼吸,0.1195632078893469,35,11
s_tau_coarse_litter,结构性凋落物周转时间,土壤磷动态,碳分配与库周转,0.1294516801459724,84,11
s_tau_coarse_litter,结构性凋落物周转时间,土壤磷动态,植物磷需求与获取,0.2314337726413368,63,13
s_tau_coarse_litter,结构性凋落物周转时间,土壤磷动态,土壤磷动态,0.0926519379754213,70,12
s_tau_microbial,微生物库周转时间,土壤磷动态,碳获取与呼吸,0.8090975604359404,35,2
s_tau_microbial,微生物库周转时间,土壤磷动态,碳分配与库周转,0.7104121498076138,84,2
s_tau_microbial,微生物库周转时间,土壤磷动态,植物磷需求与获取,0.6611539311208463,63,2
s_tau_microbial,微生物库周转时间,土壤磷动态,土壤磷动态,0.5886274334337275,70,1
s_tau_slow,慢周转土壤有机质时间,土壤磷动态,碳获取与呼吸,0.37443828107401556,35,5
s_tau_slow,慢周转土壤有机质时间,土壤磷动态,碳分配与库周转,0.34883164443944714,84,5
s_tau_slow,慢周转土壤有机质时间,土壤磷动态,植物磷需求与获取,0.387203025914811,63,5
s_tau_slow,慢周转土壤有机质时间,土壤磷动态,土壤磷动态,0.33845724389639636,70,5
s_tau_passive,惰性土壤有机质时间,土壤磷动态,碳获取与呼吸,0.014733745462478045,35,19
s_tau_passive,惰性土壤有机质时间,土壤磷动态,碳分配与库周转,0.013787855294746946,84,21
s_tau_passive,惰性土壤有机质时间,土壤磷动态,植物磷需求与获取,0.14261050342060677,63,23
s_tau_passive,惰性土壤有机质时间,土壤磷动态,土壤磷动态,0.01470747899493063,70,17
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,碳获取与呼吸,0.0025911610974491436,35,25
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,碳分配与库周转,0.002561246304232007,84,26
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,植物磷需求与获取,0.14693592670799474,63,22
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,土壤磷动态,0.0037124524138544813,70,23
