sample_id,treatment,gpp_sum,npp_sum,lai_mean,reco_sum,rauto_sum,rhetero_sum,npp_leaf_sum,npp_wood_sum,npp_root_sum,npp_repro_sum,litterfall_c_sum,leaf_c_end,wood_c_end,root_c_end,plant_c_end,soil_c_end,nsc_end,p_demand_sum,p_uptake_sum,p_retrans_sum,leaf_p_end,root_p_end,plant_p_end,leaf_cp_end,root_cp_end,p_net_sum,fptase_sum,p_loss_sum,labile_p_end,sorbed_p_end,strongly_sorbed_p_end,occluded_p_end,microbial_p_end,organic_p_end,total_inorganic_p_end
t001_s000,P0,1978.777222,4.823360443,0.5964232683,2233.014404,462.9147339,1770.097412,1.775842547,0.3734364212,2.673937321,0.0001393034472,37.31951523,11.93297386,1.645748734,0.006158229895,13.9525032,20644.85547,29.27237701,1208.871338,0.01312432531,0.0226924289,0.01486049127,5.210008567e-06,0.01570543833,802.999939,1182.0,5.217028618,0.08620331436,1.247776891e-05,0.3785316348,10.17257881,18.29702568,131.9299927,0.7769617438,108.8794861,160.7781372
t001_s000,P25,1978.778076,4.823515415,0.5964235067,2233.017822,462.9177246,1770.097412,1.775878429,0.3734484613,2.674048662,0.0001393050625,37.3196373,11.93300533,1.645759463,0.006158976816,13.95254612,20644.85742,29.27293587,1152.943481,0.01854240149,0.02269248106,0.01486052945,5.210640211e-06,0.01570547931,803.0,1182.0,5.217029095,0.08620331436,1.890502972e-05,0.6501755118,17.28295517,18.39580727,131.9299927,0.7769617438,108.8794861,168.2589264
t001_s000,P50,1978.778809,4.823680401,0.5964238644,2233.02124,462.9212646,1770.097412,1.775920033,0.3734614253,2.674163818,0.0001393055427,37.31973648,11.93302917,1.645771503,0.006159899756,13.95258236,20644.85742,29.27375793,1100.087402,0.02356420457,0.02269253321,0.01486056019,5.211421012e-06,0.01570551284,802.999939,1182.0,5.217028618,0.08620331436,2.540181049e-05,0.9266512394,24.36297989,18.49448776,131.9299927,0.7769617438,108.8794861,175.7141113
t001_s000,P100,1978.780396,4.824069023,0.59642452,2233.029541,462.9288635,1770.097412,1.776013732,0.3734899461,2.674429655,0.0001393045386,37.32003784,11.93309784,1.645800829,0.00616244413,13.95268345,20644.85742,29.27536583,1003.710083,0.03241239861,0.0226926785,0.01486064401,5.213573786e-06,0.01570560411,803.000061,1182.0,5.217029572,0.08620331436,3.860916331e-05,1.494578123,38.4316597,18.69077492,131.9299927,0.7769617438,108.8794861,190.5469971
t001_s001,P0,1971.901367,4.495820045,0.5939338207,1831.8479,426.2419434,1405.60791,1.613676906,0.3549244404,2.52708149,0.0001401034679,37.02893066,11.86138439,1.588882804,0.005001558457,13.82289124,21292.43359,22.47484207,1267.347046,0.009940066375,0.02253949456,0.01477133762,4.231437288e-06,0.01560393255,803.0,1181.999878,4.306303501,0.08700408041,1.033155877e-05,0.309910208,8.351621628,18.19630241,131.9299927,0.994466424,110.8788681,158.7878265
t001_s001,P25,1971.902344,4.495956421,0.593934238,1831.85437,426.2484131,1405.608032,1.61371088,0.3549348414,2.527173758,0.0001401039481,37.02904129,11.86140919,1.588894844,0.005002134014,13.82292843,21292.43359,22.47672081,1219.573242,0.01440646034,0.02253953367,0.01477136835,4.231923413e-06,0.01560396701,803.0,1182.000122,4.306303501,0.08700408041,1.675167914e-05,0.5814384818,15.49837112,18.26013947,131.9299927,0.994466424,110.8788681,166.2699432
t001_s001,P50,1971.902954,4.496054173,0.5939343572,1831.860718,426.2548828,1405.608032,1.613732696,0.3549432158,2.527242184,0.0001401052286,37.02912521,11.86142254,1.588901997,0.005002465099,13.82294941,21292.43359,22.47853279,1176.93457,0.01826383732,0.02253955416,0.01477138512,4.232203537e-06,0.01560398471,803.0,1182.000122,4.306302547,0.08700408041,2.324165871e-05,0.857822299,22.61490822,18.32363892,131.9299927,0.994466424,110.8788681,173.7263641
t001_s001,P100,1971.903564,4.496157646,0.5939347148,1831.873901,426.2659912,1405.60791,1.613757133,0.3549514413,2.527311087,0.0001401084737,37.02920914,11.86144161,1.588909984,0.005002918653,13.82297707,21292.43359,22.48148727,1105.058838,0.02446736395,0.02253960259,0.0147714084,4.232587798e-06,0.01560401078,803.000061,1182.0,4.306302547,0.08700408041,3.643592572e-05,1.425631046,36.75674057,18.44976425,131.9299927,0.9944665432,110.8788681,188.5621338
t001_s002,P0,1975.310425,4.753832817,0.5951160789,1727.759277,445.2503967,1282.504517,1.742805243,0.3720136881,2.638865471,0.0001437547762,37.21138,11.9041338,1.593046904,0.004957802128,13.86976147,21014.125,21.79582214,1291.933716,0.009816866368,0.02263122797,0.01482457574,4.19441767e-06,0.01565796696,802.999939,1182.000122,5.231226444,0.08771499246,1.01135347e-05,0.3145517707,8.475110054,18.19042778,131.9299927,0.8153393269,110.7568359,158.91008
t001_s002,P25,1975.306396,4.753693104,0.595115006,1727.765869,445.2561646,1282.504639,1.742372513,0.3720371127,2.639135361,0.000143756115,37.21134567,11.90397739,1.593058109,0.004958330654,13.86961651,21014.125,21.79740715,1242.282471,0.01437819283,0.02263123728,0.0148243811,4.194865141e-06,0.0156577751,802.999939,1182.0,5.231226921,0.08771499246,1.653331128e-05,0.5861791968,15.62176704,18.25390434,131.9299927,0.8153392673,110.7568359,166.3918457
