parameter_id,parameter_name_cn,primary_process,evaluated_process,process_score,n_metric_cases,rank_within_process
s_tau_root,根系周转时间,碳分配与库周转,碳获取与呼吸,0.8277134159219567,35,1
s_tau_microbial,微生物库周转时间,土壤磷动态,碳获取与呼吸,0.8090975604359404,35,2
s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,碳获取与呼吸,0.4503060692545402,35,3
s_tau_root,根系周转时间,碳分配与库周转,碳分配与库周转,0.8495784368460462,84,1
s_tau_microbial,微生物库周转时间,土壤磷动态,碳分配与库周转,0.7104121498076138,84,2
s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,碳分配与库周转,0.4247453951367922,84,3
s_tau_root,根系周转时间,碳分配与库周转,植物磷需求与获取,0.7470642831664812,63,1
s_tau_microbial,微生物库周转时间,土壤磷动态,植物磷需求与获取,0.6611539311208463,63,2
s_tau_fine_litter,代谢性凋落物周转时间,土壤磷动态,植物磷需求与获取,0.46502985995991303,63,3
s_tau_microbial,微生物库周转时间,土壤磷动态,土壤磷动态,0.5886274334337275,70,1
s_psorbmax,最大磷吸附容量倍率,土壤磷动态,土壤磷动态,0.36850302983973426,70,2
s_kmlabp,有效磷半饱和常数倍率,土壤磷动态,土壤磷动态,0.34323096320169066,70,3
